  Frequency            ,PSRR
1.00E+01,1.09E+02
1.29E+01,1.09E+02
1.67E+01,1.09E+02
2.15E+01,1.09E+02
2.78E+01,1.07E+02
3.59E+01,1.07E+02
4.64E+01,1.06E+02
5.99E+01,1.06E+02
7.74E+01,1.06E+02
1.00E+02,1.05E+02
1.29E+02,1.02E+02
1.67E+02,9.86E+01
2.15E+02,9.54E+01
2.78E+02,9.43E+01
3.59E+02,9.29E+01
4.64E+02,9.14E+01
5.99E+02,9.07E+01
7.74E+02,9.00E+01
1.00E+03,8.93E+01
1.29E+03,8.36E+01
1.67E+03,8.00E+01
2.15E+03,7.64E+01
2.78E+03,7.50E+01
3.59E+03,7.29E+01
4.64E+03,7.14E+01
5.99E+03,7.07E+01
7.74E+03,7.00E+01
1.00E+04,6.93E+01
1.29E+04,6.36E+01
1.67E+04,6.00E+01
2.15E+04,5.64E+01
2.78E+04,5.50E+01
3.59E+04,5.29E+01
4.64E+04,5.14E+01
5.99E+04,5.07E+01
7.74E+04,5.00E+01
1.00E+05,4.93E+01
1.29E+05,4.36E+01
1.67E+05,4.00E+01
2.15E+05,3.64E+01
2.78E+05,3.50E+01
3.59E+05,3.29E+01
4.64E+05,3.40E+00
5.99E+05,3.07E+01
7.74E+05,3.00E+01
1.00E+06,2.93E+01
1.29E+06,2.36E+01
1.67E+06,2.00E+01
2.15E+06,1.64E+01
2.78E+06,1.50E+01
3.59E+06,1.29E+01
4.64E+06,1.14E+01
5.99E+06,1.07E+01
7.74E+06,1.00E+01
1.00E+07,9.30E+00
