  Frequency            ,PSRR
1.00E+01,7.70E+01
1.29E+01,8.10E+01
1.67E+01,8.30E+01
2.15E+01,8.40E+01
2.78E+01,8.50E+01
3.59E+01,8.60E+01
4.64E+01,8.70E+01
5.99E+01,8.80E+01
7.74E+01,8.90E+01
1.00E+02,9.00E+01
1.29E+02,9.60E+01
1.67E+02,9.80E+01
2.15E+02,9.70E+01
2.78E+02,9.60E+01
3.59E+02,9.50E+01
4.64E+02,9.30E+01
5.99E+02,9.20E+01
7.74E+02,9.10E+01
1.00E+03,9.00E+01
1.29E+03,8.40E+01
1.67E+03,8.00E+01
2.15E+03,7.80E+01
2.78E+03,7.70E+01
3.59E+03,7.60E+01
4.64E+03,7.50E+01
5.99E+03,7.40E+01
7.74E+03,7.30E+01
1.00E+04,7.20E+01
1.29E+04,7.10E+01
1.67E+04,7.00E+01
2.15E+04,6.90E+01
2.78E+04,6.70E+01
3.59E+04,6.60E+01
4.64E+04,6.50E+01
5.99E+04,6.40E+01
7.74E+04,6.30E+01
1.00E+05,6.30E+01
1.29E+05,6.00E+01
1.67E+05,5.50E+01
2.15E+05,5.00E+01
2.78E+05,4.80E+01
3.59E+05,4.60E+01
4.64E+05,4.50E+01
5.99E+05,4.50E+01
7.74E+05,4.60E+01
1.00E+06,4.70E+01
1.29E+06,5.20E+01
1.67E+06,5.50E+01
2.15E+06,5.50E+01
2.78E+06,5.60E+01
3.59E+06,5.60E+01
4.64E+06,5.60E+01
5.99E+06,5.60E+01
7.74E+06,5.30E+01
1.00E+07,5.20E+01
