Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ANT121,2450AT07A0100001T,ANT-SMD_4P-L1.0-W0.5_2450AT07A0100001T,-29.34,142.87,-90.0,top
C101,1u,C_0402_1005Metric,-11.05,141.62,90.0,top
C11,1n,C_0402_1005Metric,40.83,79.735,-90.0,top
C111,0.1u,C_0603_1608Metric,-14.835,81.04,180.0,top
C112,10u,C_0603_1608Metric,-14.845,79.58,180.0,top
C113,1u,C_0402_1005Metric,-14.19,82.87,0.0,top
C114,1u,C_0603_1608Metric,-18.09,81.04,180.0,top
C12,1n,C_0402_1005Metric,36.7,79.735,-90.0,top
C121,12pF,CAPC1005X04L,-36.25,127.06,0.0,top
C1210,100nF,CAPC1005X04L,-39.65,135.235,90.0,top
C1211,0.8pF,CAPC1005X04L,-36.3754,137.06159,0.0,top
C1212,0.5pF,CAPC1005X04L,-36.4208,139.91656,0.0,top
C1213,820pF,CAPC1005X04L,-33.1,138.40997,90.0,top
C1214,100nF,CAPC1005X04L,-29.974995,135.535,0.0,top
C1215,100pF,CAPC1005X04L,-39.025,138.01,90.0,top
C1216,12pF,CAPC1005X04L,-41.1954,138.5492,0.0,top
C1217,12pF,CAPC1005X04L,-41.19541,134.9932,180.0,top
C122,12pF,CAPC1005X04L,-34.73,126.06,-90.0,top
C123,4.7µF,CAPC1608X06L,-30.14999,127.5246,0.0,top
C124,100nF,CAPC1005X04L,-37.725,126.684995,-90.0,top
C125,1.0µF,CAPC1608X06L,-38.825,126.70999,-90.0,top
C126,4.7µF,CAPC1608X06L,-29.425,128.70997,0.0,top
C127,4.7µF,CAPC1608X06L,-29.425,129.88497,0.0,top
C128,100nF,CAPC1005X04L,-29.974995,132.76,0.0,top
C129,1.0µF,CAPC1608X06L,-40.075,130.16,-90.0,top
C13,100n,C_0402_1005Metric,41.87,79.725,-90.0,top
C131,1u,C_0402_1005Metric,50.02,85.95,90.0,top
C132,1u,C_0402_1005Metric,50.94,85.95,90.0,top
C14,100n,C_0402_1005Metric,35.66,79.735,-90.0,top
C15,1u,C_0603_1608Metric,37.015,81.8,180.0,top
C16,1u,C_0603_1608Metric,37.04,86.68,0.0,top
C21,1u,C_0603_1608Metric,-22.16,78.6,90.0,top
C22,1u,C_0603_1608Metric,-17.81,78.82,90.0,top
C23,1u,C_0603_1608Metric,-9.795,86.38,180.0,top
C24,0.47u,C_0603_1608Metric,-11.29,88.72,90.0,top
C31,4.7u,C_0603_1608Metric,33.89,78.335,-90.0,top
C32,10u,C_0603_1608Metric,31.83,76.02,0.0,top
C33,1u,C_0603_1608Metric,28.4,73.135,-90.0,top
C34,1u,C_0603_1608Metric,22.47,74.505,-90.0,top
C35,1u,C_0603_1608Metric,20.255,76.16,0.0,top
C36,1u,C_0603_1608Metric,24.865,70.28,0.0,top
C41,0.1u,C_0402_1005Metric,10.75,80.88,90.0,top
C410,10u,C_0603_1608Metric,4.34,80.69,0.0,top
C42,1u,C_0603_1608Metric,9.44,80.425,-90.0,top
C43,1u,C_0402_1005Metric,9.6,82.85,180.0,top
C44,1u,C_0402_1005Metric,11.59,83.82,180.0,top
C45,0.1u,C_0402_1005Metric,6.85,86.49,90.0,top
C46,1u,C_0603_1608Metric,5.5,86.195,-90.0,top
C47,NC,C_0402_1005Metric,7.03,83.47,90.0,top
C48,NC,C_0603_1608Metric,5.71,82.905,-90.0,top
C49,100n,C_0402_1005Metric,3.93,82.86,180.0,top
C51,1n,C_0603_1608Metric,-0.37016,135.875,0.0,top
C52,1n,C_0603_1608Metric,-0.37016,132.75,180.0,top
C61,100n,CAPC1005X04L,-27.316175,133.34976,0.0,top
C7101,100n,C_0402_1005Metric,13.66,67.02,0.0,top
C7102,2.2u,C_0603_1608Metric,13.67,68.31,0.0,top
C711,100n,C_0402_1005Metric,38.82,123.07,180.0,top
C7111,100n,C_0402_1005Metric,-21.25,63.18,180.0,top
C7112,2.2u,C_0603_1608Metric,-21.26,61.89,180.0,top
C712,2.2u,C_0603_1608Metric,38.81,121.75,180.0,top
C7121,100n,C_0402_1005Metric,-46.36,67.03,0.0,top
C7122,2.2u,C_0603_1608Metric,-46.35,68.32,0.0,top
C7131,100n,C_0402_1005Metric,38.94,33.22,180.0,top
C7132,2.2u,C_0603_1608Metric,38.93,31.93,180.0,top
C7141,100n,C_0402_1005Metric,8.88,33.24,180.0,top
C7142,2.2u,C_0603_1608Metric,8.87,31.95,180.0,top
