"net_a","net_b","panels_a","panels_b","cm_f","cm_pf","assemble_ms","solve_ms"
"/+INB1","/SIG1","1","15","-2.67179e-14","-0.0267179","0.0088","0.0048"
"/+INB1","GND","1","6014","-2.61615e-13","-0.261615","38.1157","1646.71"
"/+INB10","/SIG10","1","15","-3.11309e-14","-0.0311309","0.0128","0.0032"
"/+INB11","/SIG11","1","15","-3.00666e-14","-0.0300666","0.0053","0.0065"
"/+INB12","/SIG12","1","15","-3.04774e-14","-0.0304774","0.1234","0.0037"
"/+INB13","/SIG13","1","15","-1.61071e-14","-0.0161071","0.0087","0.0032"
"/+INB14","/SIG14","1","15","-1.69442e-14","-0.0169442","0.0103","0.0041"
"/+INB14","/Vout_3V3","1","1590","-1.51518e-13","-0.151518","8.3191","116.504"
"/+INB15","/SIG15","1","15","-2.63605e-14","-0.0263605","0.0048","0.003"
"/+INB16","/SIG16","1","15","-3.04774e-14","-0.0304774","0.0046","0.003"
"/+INB2","/SIG2","1","15","-9.96797e-15","-0.00996797","0.0057","0.0056"
"/+INB3","/SIG3","1","15","-3.22702e-14","-0.0322702","0.0042","0.0037"
"/+INB3","/Vout_3V3","1","1590","-3.30561e-13","-0.330561","8.6192","92.1064"
"/+INB4","/SIG4","1","15","-3.34705e-14","-0.0334705","0.0049","0.0062"
"/+INB5","/SIG5","1","15","-3.25266e-14","-0.0325266","0.0043","0.0037"
"/+INB5","GND","1","6014","-1.61133e-13","-0.161133","43.7317","1821.01"
"/+INB6","/SIG6","1","15","-2.85723e-14","-0.0285723","0.0044","0.0036"
"/+INB7","/SIG7","1","15","-3.596e-14","-0.03596","0.0055","0.0033"
"/+INB8","/SIG8","1","15","-2.19574e-14","-0.0219574","0.0055","0.0036"
"/+INB9","/SIG9","1","15","-3.02364e-14","-0.0302364","0.0102","0.004"
"/+INB9","GND","1","6014","-4.16407e-13","-0.416407","46.1971","1791.4"
"/-INA1","/SIG1","2","15","-1.03432e-13","-0.103432","0.0049","0.0075"
"/-INA10","/SIG10","2","15","-2.13746e-13","-0.213746","0.0054","0.006"
"/-INA11","/SIG11","2","15","-2.24376e-13","-0.224376","0.0044","0.0068"
"/-INA12","/SIG12","2","15","-1.62006e-13","-0.162006","0.0182","0.0092"
"/-INA13","/SIG13","2","15","-5.69269e-14","-0.0569269","0.0051","0.0051"
"/-INA14","/SIG14","2","15","-8.82657e-14","-0.0882657","0.0042","0.0037"
"/-INA15","/SIG15","2","15","-1.16246e-13","-0.116246","0.0096","0.0041"
"/-INA15","GND","2","6014","-2.14391e-11","-21.4391","51.2603","1777.69"
"/-INA16","/SIG16","2","15","-1.62006e-13","-0.162006","0.0049","0.004"
"/-INA2","/SIG2","2","15","-2.71491e-13","-0.271491","0.0041","0.0037"
"/-INA3","/P0.00{slash}XL1","2","10","-6.61437e-14","-0.0661437","0.009","0.0034"
