net_a,net_b,panels_a,panels_b,cm_f,cm_pf,assemble_ms,solve_ms
/+INB1,/+INB10,1,1,3.10175e-16,0.000310175,1.1505,0.0343
/+INB1,/+INB11,1,1,2.39131e-16,0.000239131,0.0072,0.005
/+INB1,/+INB12,1,1,1.99911e-16,0.000199911,0.006,0.0031
/+INB1,/+INB13,1,1,2.25698e-16,0.000225698,0.0087,0.003
/+INB1,/+INB14,1,1,2.14188e-16,0.000214188,0.0071,0.0014
/+INB1,/+INB15,1,1,1.93223e-16,0.000193223,0.0082,0.0013
/+INB1,/+INB16,1,1,1.66047e-16,0.000166047,0.0084,0.0009
/+INB1,/+INB2,1,1,6.77875e-16,0.000677875,0.0094,0.0015
/+INB1,/+INB3,1,1,4.03888e-16,0.000403888,0.0093,0.0009
/+INB1,/+INB4,1,1,2.52974e-16,0.000252974,0.0049,0.0009
/+INB1,/+INB5,1,1,6.02845e-16,0.000602845,0.0076,0.0007
/+INB1,/+INB6,1,1,5.33214e-16,0.000533214,0.0083,0.0011
/+INB1,/+INB7,1,1,3.02348e-16,0.000302348,0.0093,0.0016
/+INB1,/+INB8,1,1,2.34604e-16,0.000234604,0.0048,0.0007
/+INB1,/+INB9,1,1,3.22169e-16,0.000322169,0.005,0.0009
/+INB1,/-INA1,1,2,9.61954e-15,0.00961954,0.005,0.0016
/+INB1,/-INA10,1,2,5.79854e-16,0.000579854,0.0059,0.0016
/+INB1,/-INA11,1,2,4.61539e-16,0.000461539,0.0053,0.0013
/+INB1,/-INA12,1,2,3.66012e-16,0.000366012,0.0049,0.001
/+INB1,/-INA13,1,2,4.18788e-16,0.000418788,0.0068,0.0019
/+INB1,/-INA14,1,2,4.03658e-16,0.000403658,0.0107,0.0013
/+INB1,/-INA15,1,2,3.595e-16,0.0003595,0.0059,0.0006
/+INB1,/-INA16,1,2,3.07208e-16,0.000307208,0.0096,0.001
/+INB1,/-INA2,1,2,1.49223e-15,0.00149223,0.0044,0.0009
/+INB1,/-INA3,1,2,7.00251e-16,0.000700251,0.0098,0.001
/+INB1,/-INA4,1,2,4.51718e-16,0.000451718,0.0085,0.0009
/+INB1,/-INA5,1,2,1.21211e-15,0.00121211,0.0083,0.0007
/+INB1,/-INA6,1,2,9.62718e-16,0.000962718,0.0048,0.0006
/+INB1,/-INA7,1,2,5.9798e-16,0.00059798,0.0068,0.001
/+INB1,/-INA8,1,2,4.23549e-16,0.000423549,0.0049,0.0012
/+INB1,/-INA9,1,2,6.22708e-16,0.000622708,0.0056,0.0009
/+INB1,/-INB1,1,12,2.87471e-14,0.0287471,0.0082,0.0085
/+INB1,/-INB10,1,18,2.84454e-15,0.00284454,0.0061,0.0182
/+INB1,/-INB11,1,16,1.63619e-15,0.00163619,0.0051,0.0094
/+INB1,/-INB12,1,13,1.66274e-15,0.00166274,0.0051,0.0046
/+INB1,/-INB13,1,7,9.28611e-16,0.000928611,0.0069,0.0038
/+INB1,/-INB14,1,6,7.61938e-16,0.000761938,0.0044,0.002
/+INB1,/-INB15,1,1,2.75702e-16,0.000275702,0.0042,0.001
/+INB1,/-INB16,1,13,1.17453e-15,0.00117453,0.0123,0.0037
/+INB1,/-INB2,1,9,2.68208e-15,0.00268208,0.0058,0.0029
/+INB1,/-INB3,1,9,1.92412e-15,0.00192412,0.0096,0.0023
/+INB1,/-INB4,1,16,2.04611e-15,0.00204611,0.0105,0.0073
/+INB1,/-INB5,1,13,9.50648e-15,0.00950648,0.0089,0.009
/+INB1,/-INB6,1,10,2.95015e-15,0.00295015,0.0052,0.004
/+INB1,/-INB7,1,12,2.2535e-15,0.0022535,0.0057,0.0039
/+INB1,/-INB8,1,14,1.96979e-15,0.00196979,0.1064,0.0053
/+INB1,/-INB9,1,9,1.04777e-15,0.00104777,0.0088,0.0042
/+INB1,/0V9_F,1,9,6.16161e-16,0.000616161,0.0106,0.0034
/+INB1,/2V0_F,1,4,8.69046e-16,0.000869046,0.0077,0.0014
/+INB1,/2V0_O,1,11,9.86141e-16,0.000986141,0.0103,0.0041
/+INB1,/ADC_CS,1,2,3.82656e-16,0.000382656,0.0051,0.0029
/+INB1,/ADC_MISO,1,1,2.75149e-16,0.000275149,0.0088,0.001
/+INB1,/ADC_MOSI,1,1,3.36095e-16,0.000336095,0.0076,0.0006
/+INB1,/ADC_SCLK,1,3,4.5914e-16,0.00045914,0.0055,0.0012
/+INB1,/CC1,1,11,6.45416e-16,0.000645416,0.0059,0.0037
/+INB1,/CC2,1,1,5.66635e-16,0.000566635,0.0094,0.001
/+INB1,/DEC1,1,1,2.91358e-16,0.000291358,0.0088,0.0008
/+INB1,/DEC3,1,3,5.42544e-16,0.000542544,0.0092,0.0013
/+INB1,/DEC4_6,1,14,1.09696e-15,0.00109696,0.0094,0.0045
/+INB1,/DEC5,1,3,5.41934e-16,0.000541934,0.0054,0.0009
/+INB1,/DECUSB,1,3,5.80025e-16,0.000580025,0.0088,0.0012
/+INB1,/LB,1,12,1.58754e-15,0.00158754,0.0094,0.0033
/+INB1,/LG,1,2,5.81688e-16,0.000581688,0.009,0.0009
/+INB1,/LR,1,9,1.02592e-15,0.00102592,0.0101,0.0025
/+INB1,/MUX_MID1,1,25,2.68333e-15,0.00268333,0.0064,0.0118
/+INB1,/MUX_MID2,1,10,1.59303e-15,0.00159303,0.0059,0.0029
/+INB1,/OUTA1,1,1,4.25084e-15,0.00425084,0.0096,0.0009
/+INB1,/OUTA10,1,1,3.67184e-16,0.000367184,0.0095,0.0006
/+INB1,/OUTA11,1,1,3.05369e-16,0.000305369,0.0059,0.0005
/+INB1,/OUTA12,1,1,2.3296e-16,0.00023296,0.0096,0.001
/+INB1,/OUTA13,1,1,2.73829e-16,0.000273829,0.0066,0.0007
/+INB1,/OUTA14,1,1,2.65173e-16,0.000265173,0.01,0.003
/+INB1,/OUTA15,1,1,2.29264e-16,0.000229264,0.0049,0.0008
/+INB1,/OUTA16,1,1,1.96147e-16,0.000196147,0.0054,0.0009
/+INB1,/OUTA2,1,1,1.0264e-15,0.0010264,0.0109,0.0019
/+INB1,/OUTA3,1,1,4.40728e-16,0.000440728,0.0057,0.0008
/+INB1,/OUTA4,1,1,2.87204e-16,0.000287204,0.0048,0.0009
/+INB1,/OUTA5,1,1,7.65408e-16,0.000765408,0.0044,0.0011
/+INB1,/OUTA6,1,1,5.97857e-16,0.000597857,0.01,0.0008
/+INB1,/OUTA7,1,1,3.9856e-16,0.00039856,0.0046,0.0006
/+INB1,/OUTA8,1,1,2.68968e-16,0.000268968,0.0053,0.0008
/+INB1,/OUTA9,1,1,3.97435e-16,0.000397435,0.0103,0.0009
/+INB1,/P0.00{slash}XL1,1,10,5.82187e-15,0.00582187,0.005,0.0039
/+INB1,/P0.01{slash}XL2,1,3,6.06131e-16,0.000606131,0.0047,0.0017
/+INB1,/P0.02{slash}AIN0,1,1,9.89342e-17,9.89342e-05,0.008,0.0008
/+INB1,/P0.03{slash}AIN1,1,1,9.95688e-17,9.95688e-05,0.009,0.0009
/+INB1,/P0.04,1,11,1.92584e-15,0.00192584,0.0114,0.0046
/+INB1,/P0.05,1,7,2.97128e-16,0.000297128,0.01,0.0022
/+INB1,/P0.06,1,1,2.09053e-16,0.000209053,0.0083,0.0005
/+INB1,/P0.07,1,11,4.43035e-15,0.00443035,0.0102,0.0043
/+INB1,/P0.08,1,1,1.04042e-16,0.000104042,0.0047,0.0007
/+INB1,/P0.09{slash}NFC1,1,1,1.02506e-16,0.000102506,0.0083,0.001
/+INB1,/P0.10{slash}NFC2,1,1,1.01809e-16,0.000101809,0.0084,0.0008
/+INB1,/P0.11,1,1,1.05113e-16,0.000105113,0.0093,0.0009
/+INB1,/P0.12,1,1,1.05522e-16,0.000105522,0.0079,0.0006
/+INB1,/P0.14,1,1,1.07608e-16,0.000107608,0.008,0.0008
/+INB1,/P0.16,1,1,1.07545e-16,0.000107545,0.0048,0.0005
/+INB1,/P0.19,1,1,1.07403e-16,0.000107403,0.0089,0.0008
/+INB1,/P0.20,1,1,1.08143e-16,0.000108143,0.0087,0.001
/+INB1,/P0.21,1,1,1.07324e-16,0.000107324,0.008,0.0008
/+INB1,/P0.22,1,1,1.08059e-16,0.000108059,0.005,0.0006
/+INB1,/P0.23,1,1,1.07239e-16,0.000107239,0.0054,0.0035
/+INB1,/P0.24,1,1,1.0797e-16,0.00010797,0.0088,0.0019
/+INB1,/P0.25,1,1,1.07149e-16,0.000107149,0.0048,0.0005
