net_a,net_b,panels_a,panels_b,cm_f,cm_pf,assemble_ms,solve_ms
/SIG1,/SIG2,137,137,6.97358e-14,0.0697358,0.9747,3.0486
/SIG1,/SIG3,137,137,3.38664e-14,0.0338664,0.7736,2.7716
/SIG1,/SIG4,137,137,2.24647e-14,0.0224647,0.916,2.8782
/SIG1,/SIG5,137,137,6.97358e-14,0.0697358,0.8454,3.1953
/SIG1,/SIG6,137,137,4.83441e-14,0.0483441,0.7369,2.9419
/SIG1,/SIG7,137,137,3.02362e-14,0.0302362,0.7432,2.9006
/SIG1,/SIG8,137,137,2.13035e-14,0.0213035,0.8028,2.8537
/SIG1,/SIG9,137,137,3.38664e-14,0.0338664,0.8047,2.7247
/SIG1,/SIG10,137,137,3.02362e-14,0.0302362,0.7931,3.1323
/SIG1,/SIG11,137,137,2.38393e-14,0.0238393,0.7042,2.6676
/SIG1,/SIG12,137,137,1.86691e-14,0.0186691,0.7307,2.7353
/SIG1,/SIG13,137,137,2.24647e-14,0.0224647,0.7749,2.9314
/SIG1,/SIG14,137,137,2.13035e-14,0.0213035,0.7132,2.7955
/SIG1,/SIG15,137,137,1.86691e-14,0.0186691,0.7586,2.6816
/SIG1,/SIG16,137,137,1.58536e-14,0.0158536,0.7909,3.023
/SIG2,/SIG3,137,137,6.97358e-14,0.0697358,0.7179,2.9576
/SIG2,/SIG4,137,137,3.38664e-14,0.0338664,0.9039,2.7725
/SIG2,/SIG5,137,137,4.83441e-14,0.0483441,0.7404,2.6643
/SIG2,/SIG6,137,137,6.97358e-14,0.0697358,0.8252,2.6882
/SIG2,/SIG7,137,137,4.83441e-14,0.0483441,0.7135,2.6448
/SIG2,/SIG8,137,137,3.02362e-14,0.0302362,0.8284,2.9827
/SIG2,/SIG9,137,137,3.02362e-14,0.0302362,0.753,2.8178
/SIG2,/SIG10,137,137,3.38664e-14,0.0338664,0.7556,2.6993
/SIG2,/SIG11,137,137,3.02362e-14,0.0302362,0.8007,2.7241
/SIG2,/SIG12,137,137,2.38393e-14,0.0238393,0.8094,2.745
/SIG2,/SIG13,137,137,2.13035e-14,0.0213035,0.8335,3.3503
/SIG2,/SIG14,137,137,2.24647e-14,0.0224647,0.9731,3.0248
/SIG2,/SIG15,137,137,2.13035e-14,0.0213035,0.8251,2.7774
/SIG2,/SIG16,137,137,1.86691e-14,0.0186691,0.769,2.8205
/SIG3,/SIG4,137,137,6.97358e-14,0.0697358,0.8802,3.2452
/SIG3,/SIG5,137,137,3.02362e-14,0.0302362,0.8139,2.7235
/SIG3,/SIG6,137,137,4.83441e-14,0.0483441,0.7632,2.8177
/SIG3,/SIG7,137,137,6.97358e-14,0.0697358,0.7688,2.8827
/SIG3,/SIG8,137,137,4.83441e-14,0.0483441,0.7277,3.1346
/SIG3,/SIG9,137,137,2.38393e-14,0.0238393,0.8019,2.7704
/SIG3,/SIG10,137,137,3.02362e-14,0.0302362,0.823,3.1066
/SIG3,/SIG11,137,137,3.38664e-14,0.0338664,0.7286,2.9665
/SIG3,/SIG12,137,137,3.02362e-14,0.0302362,0.7293,2.8202
/SIG3,/SIG13,137,137,1.86691e-14,0.0186691,0.8216,2.8063
/SIG3,/SIG14,137,137,2.13035e-14,0.0213035,0.789,2.8164
/SIG3,/SIG15,137,137,2.24647e-14,0.0224647,0.7719,2.7615
/SIG3,/SIG16,137,137,2.13035e-14,0.0213035,0.8048,2.7568
/SIG4,/SIG5,137,137,2.13035e-14,0.0213035,0.7945,2.959
/SIG4,/SIG6,137,137,3.02362e-14,0.0302362,0.8038,2.7167
/SIG4,/SIG7,137,137,4.83441e-14,0.0483441,1.0179,2.7663
/SIG4,/SIG8,137,137,6.97358e-14,0.0697358,0.8056,2.7151
/SIG4,/SIG9,137,137,1.86691e-14,0.0186691,0.7954,3.7597
/SIG4,/SIG10,137,137,2.38393e-14,0.0238393,1.3406,2.8313
/SIG4,/SIG11,137,137,3.02362e-14,0.0302362,0.778,2.7377
/SIG4,/SIG12,137,137,3.38664e-14,0.0338664,0.7617,2.7433
/SIG4,/SIG13,137,137,1.58536e-14,0.0158536,0.7589,2.832
/SIG4,/SIG14,137,137,1.86691e-14,0.0186691,0.7749,2.7904
/SIG4,/SIG15,137,137,2.13035e-14,0.0213035,0.7983,2.7865
/SIG4,/SIG16,137,137,2.24647e-14,0.0224647,0.7828,2.6986
/SIG5,/SIG6,137,137,6.97358e-14,0.0697358,0.7206,2.5225
/SIG5,/SIG7,137,137,3.38664e-14,0.0338664,0.8258,3.0093
/SIG5,/SIG8,137,137,2.24647e-14,0.0224647,0.8337,3.0899
/SIG5,/SIG9,137,137,6.97358e-14,0.0697358,0.7339,2.6936
/SIG5,/SIG10,137,137,4.83441e-14,0.0483441,0.7928,2.7972
/SIG5,/SIG11,137,137,3.02362e-14,0.0302362,0.7958,2.7371
/SIG5,/SIG12,137,137,2.13035e-14,0.0213035,0.8525,3.1772
/SIG5,/SIG13,137,137,3.38664e-14,0.0338664,0.7724,2.8606
/SIG5,/SIG14,137,137,3.02362e-14,0.0302362,0.8425,2.7406
/SIG5,/SIG15,137,137,2.38393e-14,0.0238393,0.7931,2.705
/SIG5,/SIG16,137,137,1.86691e-14,0.0186691,0.7508,3.1381
/SIG6,/SIG7,137,137,6.97358e-14,0.0697358,0.789,2.6492
/SIG6,/SIG8,137,137,3.38664e-14,0.0338664,0.7734,2.7006
/SIG6,/SIG9,137,137,4.83441e-14,0.0483441,0.7816,2.6798
/SIG6,/SIG10,137,137,6.97358e-14,0.0697358,0.8239,2.9878
/SIG6,/SIG11,137,137,4.83441e-14,0.0483441,0.8743,2.786
/SIG6,/SIG12,137,137,3.02362e-14,0.0302362,0.8121,2.6893
/SIG6,/SIG13,137,137,3.02362e-14,0.0302362,0.7602,2.7406
/SIG6,/SIG14,137,137,3.38664e-14,0.0338664,0.8171,2.6857
/SIG6,/SIG15,137,137,3.02362e-14,0.0302362,0.781,2.7347
/SIG6,/SIG16,137,137,2.38393e-14,0.0238393,0.784,2.5784
/SIG7,/SIG8,137,137,6.97358e-14,0.0697358,0.7496,2.7048
/SIG7,/SIG9,137,137,3.02362e-14,0.0302362,0.8017,2.7336
/SIG7,/SIG10,137,137,4.83441e-14,0.0483441,0.7523,2.9983
/SIG7,/SIG11,137,137,6.97358e-14,0.0697358,0.8722,2.913
/SIG7,/SIG12,137,137,4.83441e-14,0.0483441,0.8036,2.6795
/SIG7,/SIG13,137,137,2.38393e-14,0.0238393,0.7879,2.7452
/SIG7,/SIG14,137,137,3.02362e-14,0.0302362,0.7821,2.8868
/SIG7,/SIG15,137,137,3.38664e-14,0.0338664,0.8137,3.0039
/SIG7,/SIG16,137,137,3.02362e-14,0.0302362,0.8594,2.5856
/SIG8,/SIG9,137,137,2.13035e-14,0.0213035,0.7775,2.7412
/SIG8,/SIG10,137,137,3.02362e-14,0.0302362,0.7821,2.6976
/SIG8,/SIG11,137,137,4.83441e-14,0.0483441,0.8383,2.5548
/SIG8,/SIG12,137,137,6.97358e-14,0.0697358,0.8546,2.9679
/SIG8,/SIG13,137,137,1.86691e-14,0.0186691,0.7658,2.8468
/SIG8,/SIG14,137,137,2.38393e-14,0.0238393,0.7837,2.6747
/SIG8,/SIG15,137,137,3.02362e-14,0.0302362,0.7495,2.6473
/SIG8,/SIG16,137,137,3.38664e-14,0.0338664,0.7561,2.8662
/SIG9,/SIG10,137,137,6.97358e-14,0.0697358,0.9092,3.1017
/SIG9,/SIG11,137,137,3.38664e-14,0.0338664,1.2789,2.9974
/SIG9,/SIG12,137,137,2.24647e-14,0.0224647,0.8334,2.7967
/SIG9,/SIG13,137,137,6.97358e-14,0.0697358,0.7463,2.9037
/SIG9,/SIG14,137,137,4.83441e-14,0.0483441,0.8478,3.1143
/SIG9,/SIG15,137,137,3.02362e-14,0.0302362,0.8358,3.0657
/SIG9,/SIG16,137,137,2.13035e-14,0.0213035,0.9169,3.1328
/SIG10,/SIG11,137,137,6.97358e-14,0.0697358,0.8589,2.7822
/SIG10,/SIG12,137,137,3.38664e-14,0.0338664,1.335,3.1803
/SIG10,/SIG13,137,137,4.83441e-14,0.0483441,0.8483,2.835
/SIG10,/SIG14,137,137,6.97358e-14,0.0697358,0.9121,2.9608
/SIG10,/SIG15,137,137,4.83441e-14,0.0483441,0.7797,2.866
/SIG10,/SIG16,137,137,3.02362e-14,0.0302362,0.7707,2.9655
/SIG11,/SIG12,137,137,6.97358e-14,0.0697358,0.8255,2.7642
/SIG11,/SIG13,137,137,3.02362e-14,0.0302362,0.8652,3.2113
/SIG11,/SIG14,137,137,4.83441e-14,0.0483441,0.8203,2.8191
/SIG11,/SIG15,137,137,6.97358e-14,0.0697358,0.7776,3.1472
/SIG11,/SIG16,137,137,4.83441e-14,0.0483441,0.865,3.2706
/SIG12,/SIG13,137,137,2.13035e-14,0.0213035,1.3021,3.3753
/SIG12,/SIG14,137,137,3.02362e-14,0.0302362,0.8947,2.7865
/SIG12,/SIG15,137,137,4.83441e-14,0.0483441,0.8091,3.5025
/SIG12,/SIG16,137,137,6.97358e-14,0.0697358,0.8476,2.6193
/SIG13,/SIG14,137,137,6.97358e-14,0.0697358,0.7994,2.8297
/SIG13,/SIG15,137,137,3.38664e-14,0.0338664,0.8321,2.792
/SIG13,/SIG16,137,137,2.24647e-14,0.0224647,0.8033,3.0558
/SIG14,/SIG15,137,137,6.97358e-14,0.0697358,0.7812,2.7436
/SIG14,/SIG16,137,137,3.38664e-14,0.0338664,0.79,2.6894
/SIG15,/SIG16,137,137,6.97358e-14,0.0697358,1.0108,2.7762
