solver,net_a,net_b,panels_a,panels_b,cm_f,cm_pf,assemble_ms,solve_ms,iters_a,iters_b,residual_a,residual_b
bicg,/SIG1,/SIG2,137,137,6.97358e-14,0.0697358,0,9.0705,31,32,9.50372e-09,8.17513e-09
bicg,/SIG1,/SIG3,137,137,3.38664e-14,0.0338664,0.0001,7.6674,32,32,5.83662e-09,7.59103e-09
bicg,/SIG1,/SIG4,137,137,2.24647e-14,0.0224647,0.0001,8.7391,30,30,9.52582e-09,9.19005e-09
bicg,/SIG1,/SIG5,137,137,6.97358e-14,0.0697358,0.0001,7.3613,32,32,6.56875e-09,7.53954e-09
bicg,/SIG1,/SIG6,137,137,4.83441e-14,0.0483441,0.0001,7.5646,32,31,8.33047e-09,9.7482e-09
bicg,/SIG1,/SIG7,137,137,3.02362e-14,0.0302362,0,7.5205,29,33,8.1329e-09,6.42946e-09
bicg,/SIG1,/SIG8,137,137,2.13035e-14,0.0213035,0,8.5005,31,30,6.53426e-09,9.24012e-09
bicg,/SIG1,/SIG9,137,137,3.38664e-14,0.0338664,0,7.4668,32,32,5.7486e-09,4.34176e-09
bicg,/SIG1,/SIG10,137,137,3.02362e-14,0.0302362,0,8.5588,33,32,5.6346e-09,5.05978e-09
bicg,/SIG1,/SIG11,137,137,2.38393e-14,0.0238393,0,6.8373,30,30,9.27316e-09,8.94621e-09
bicg,/SIG1,/SIG12,137,137,1.86691e-14,0.0186691,0.0001,7.5924,31,30,6.91993e-09,7.80027e-09
bicg,/SIG1,/SIG13,137,137,2.24647e-14,0.0224647,0,7.5769,30,30,6.60812e-09,9.13683e-09
bicg,/SIG1,/SIG14,137,137,2.13035e-14,0.0213035,0.0001,7.8465,31,31,8.38463e-09,5.79508e-09
bicg,/SIG1,/SIG15,137,137,1.86691e-14,0.0186691,0,6.3883,31,29,8.33869e-09,7.06211e-09
bicg,/SIG1,/SIG16,137,137,1.58536e-14,0.0158536,0.0001,6.9232,30,30,8.71776e-09,5.73579e-09
bicg,/SIG2,/SIG3,137,137,6.97358e-14,0.0697358,0,7.8679,33,33,8.16952e-09,6.55964e-09
bicg,/SIG2,/SIG4,137,137,3.38664e-14,0.0338664,0.0001,8.9484,32,32,9.22498e-09,7.93765e-09
bicg,/SIG2,/SIG5,137,137,4.83441e-14,0.0483441,0,7.9447,31,33,8.74918e-09,7.88618e-09
bicg,/SIG2,/SIG6,137,137,6.97358e-14,0.0697358,0,9.1662,31,32,8.03272e-09,6.55632e-09
bicg,/SIG2,/SIG7,137,137,4.83441e-14,0.0483441,0.0001,13.3101,33,34,8.24404e-09,9.27951e-09
bicg,/SIG2,/SIG8,137,137,3.02362e-14,0.0302362,0,7.5982,31,31,7.64213e-09,4.40001e-09
bicg,/SIG2,/SIG9,137,137,3.02362e-14,0.0302362,0,6.9275,29,31,6.7355e-09,7.1778e-09
bicg,/SIG2,/SIG10,137,137,3.38664e-14,0.0338664,0,7.9748,34,33,5.54115e-09,7.63958e-09
bicg,/SIG2,/SIG11,137,137,3.02362e-14,0.0302362,0.0001,7.3515,31,32,8.13785e-09,5.25367e-09
bicg,/SIG2,/SIG12,137,137,2.38393e-14,0.0238393,0.0001,7.516,32,31,8.51056e-09,9.87535e-09
bicg,/SIG2,/SIG13,137,137,2.13035e-14,0.0213035,0,7.0178,32,31,6.5617e-09,9.57485e-09
bicg,/SIG2,/SIG14,137,137,2.24647e-14,0.0224647,0,5.0794,31,31,4.16876e-09,8.2318e-09
bicg,/SIG2,/SIG15,137,137,2.13035e-14,0.0213035,0,7.2968,30,32,6.51651e-09,7.34778e-09
bicg,/SIG2,/SIG16,137,137,1.86691e-14,0.0186691,0,5.1861,30,31,6.54588e-09,4.55276e-09
bicg,/SIG3,/SIG4,137,137,6.97358e-14,0.0697358,0.0001,7.292,33,31,8.50038e-09,8.66372e-09
bicg,/SIG3,/SIG5,137,137,3.02362e-14,0.0302362,0,7.0711,31,33,6.47721e-09,7.55493e-09
bicg,/SIG3,/SIG6,137,137,4.83441e-14,0.0483441,0.0001,8.8059,32,33,6.2719e-09,7.54016e-09
bicg,/SIG3,/SIG7,137,137,6.97358e-14,0.0697358,0,7.3981,33,32,6.85203e-09,9.63268e-09
bicg,/SIG3,/SIG8,137,137,4.83441e-14,0.0483441,0.0001,7.3704,34,31,4.90551e-09,9.77875e-09
bicg,/SIG3,/SIG9,137,137,2.38393e-14,0.0238393,0.0001,7.0959,33,31,8.38269e-09,9.16451e-09
bicg,/SIG3,/SIG10,137,137,3.02362e-14,0.0302362,0.0001,7.7364,31,32,7.64544e-09,9.98761e-09
bicg,/SIG3,/SIG11,137,137,3.38664e-14,0.0338664,0,6.8825,32,33,9.26749e-09,5.97747e-09
bicg,/SIG3,/SIG12,137,137,3.02362e-14,0.0302362,0,7.2155,32,29,3.88793e-09,7.44347e-09
bicg,/SIG3,/SIG13,137,137,1.86691e-14,0.0186691,0,4.229,31,30,6.77104e-09,5.22399e-09
bicg,/SIG3,/SIG14,137,137,2.13035e-14,0.0213035,0,6.0857,32,30,5.57993e-09,8.68482e-09
bicg,/SIG3,/SIG15,137,137,2.24647e-14,0.0224647,0,6.8777,28,29,8.80032e-09,6.86067e-09
bicg,/SIG3,/SIG16,137,137,2.13035e-14,0.0213035,0.0001,7.0685,31,32,8.08543e-09,7.62194e-09
bicg,/SIG4,/SIG5,137,137,2.13035e-14,0.0213035,0.0001,7.0382,31,32,6.0086e-09,9.87325e-09
bicg,/SIG4,/SIG6,137,137,3.02362e-14,0.0302362,0.0001,6.7537,32,32,4.79896e-09,5.18124e-09
bicg,/SIG4,/SIG7,137,137,4.83441e-14,0.0483441,0,7.1709,32,30,8.51976e-09,9.79448e-09
bicg,/SIG4,/SIG8,137,137,6.97358e-14,0.0697358,0,7.1007,32,32,6.56875e-09,7.53954e-09
bicg,/SIG4,/SIG9,137,137,1.86691e-14,0.0186691,0,5.2479,30,30,9.59155e-09,6.59204e-09
bicg,/SIG4,/SIG10,137,137,2.38393e-14,0.0238393,0,6.1238,31,30,8.36277e-09,9.53694e-09
bicg,/SIG4,/SIG11,137,137,3.02362e-14,0.0302362,0,3.7521,31,32,5.53396e-09,7.28678e-09
bicg,/SIG4,/SIG12,137,137,3.38664e-14,0.0338664,0,5.8399,32,32,5.7486e-09,4.34176e-09
bicg,/SIG4,/SIG13,137,137,1.58536e-14,0.0158536,0,6.9054,30,31,9.73266e-09,9.15466e-09
bicg,/SIG4,/SIG14,137,137,1.86691e-14,0.0186691,0.0001,5.8738,31,30,5.52228e-09,9.52316e-09
bicg,/SIG4,/SIG15,137,137,2.13035e-14,0.0213035,0,5.977,31,33,4.34076e-09,8.76719e-09
bicg,/SIG4,/SIG16,137,137,2.24647e-14,0.0224647,0,3.9971,30,30,6.60812e-09,9.13683e-09
bicg,/SIG5,/SIG6,137,137,6.97358e-14,0.0697358,0,7.5238,32,33,7.63383e-09,7.31458e-09
bicg,/SIG5,/SIG7,137,137,3.38664e-14,0.0338664,0,7.1631,31,32,9.99942e-09,8.59969e-09
bicg,/SIG5,/SIG8,137,137,2.24647e-14,0.0224647,0,7.1638,30,30,5.28617e-09,7.87381e-09
bicg,/SIG5,/SIG9,137,137,6.97358e-14,0.0697358,0.0002,7.0439,32,32,8.40217e-09,7.71643e-09
bicg,/SIG5,/SIG10,137,137,4.83441e-14,0.0483441,0,7.6395,33,32,6.18572e-09,7.54088e-09
bicg,/SIG5,/SIG11,137,137,3.02362e-14,0.0302362,0,6.9811,30,32,7.85594e-09,6.788e-09
bicg,/SIG5,/SIG12,137,137,2.13035e-14,0.0213035,0,7.1922,31,31,4.25681e-09,8.24048e-09
bicg,/SIG5,/SIG13,137,137,3.38664e-14,0.0338664,0,6.6335,28,32,9.86384e-09,6.52777e-09
bicg,/SIG5,/SIG14,137,137,3.02362e-14,0.0302362,0.0001,7.2273,32,32,4.3801e-09,8.95234e-09
bicg,/SIG5,/SIG15,137,137,2.38393e-14,0.0238393,0.0001,7.1887,32,32,8.27532e-09,9.52276e-09
bicg,/SIG5,/SIG16,137,137,1.86691e-14,0.0186691,0,6.1355,29,30,7.55036e-09,9.83701e-09
bicg,/SIG6,/SIG7,137,137,6.97358e-14,0.0697358,0.0001,7.295,33,32,7.05121e-09,7.80999e-09
bicg,/SIG6,/SIG8,137,137,3.38664e-14,0.0338664,0.0001,7.2369,32,33,5.93081e-09,6.35318e-09
bicg,/SIG6,/SIG9,137,137,4.83441e-14,0.0483441,0,6.7796,32,32,1.98828e-09,6.12425e-09
bicg,/SIG6,/SIG10,137,137,6.97358e-14,0.0697358,0.0001,5.9769,32,31,9.64043e-09,7.75858e-09
bicg,/SIG6,/SIG11,137,137,4.83441e-14,0.0483441,0.0001,3.8583,30,32,7.81259e-09,9.37032e-09
bicg,/SIG6,/SIG12,137,137,3.02362e-14,0.0302362,0,6.9,31,31,7.19745e-09,7.13632e-09
bicg,/SIG6,/SIG13,137,137,3.02362e-14,0.0302362,0,7.2147,32,32,6.66555e-09,6.12118e-09
bicg,/SIG6,/SIG14,137,137,3.38664e-14,0.0338664,0,7.2031,32,31,8.61307e-09,9.2875e-09
bicg,/SIG6,/SIG15,137,137,3.02362e-14,0.0302362,0,6.1054,32,32,7.46753e-09,7.42651e-09
bicg,/SIG6,/SIG16,137,137,2.38393e-14,0.0238393,0,5.7853,32,32,9.45512e-09,6.8481e-09
bicg,/SIG7,/SIG8,137,137,6.97358e-14,0.0697358,0,5.3762,33,30,6.83684e-09,6.29057e-09
bicg,/SIG7,/SIG9,137,137,3.02362e-14,0.0302362,0,5.0255,32,32,7.9027e-09,5.23996e-09
bicg,/SIG7,/SIG10,137,137,4.83441e-14,0.0483441,0.0001,5.5818,33,31,6.5842e-09,9.00258e-09
bicg,/SIG7,/SIG11,137,137,6.97358e-14,0.0697358,0,6.5192,31,31,9.71653e-09,5.99821e-09
bicg,/SIG7,/SIG12,137,137,4.83441e-14,0.0483441,0,5.4005,31,34,7.15773e-09,8.57915e-09
bicg,/SIG7,/SIG13,137,137,2.38393e-14,0.0238393,0.0001,4.1547,31,33,7.3883e-09,5.79938e-09
bicg,/SIG7,/SIG14,137,137,3.02362e-14,0.0302362,0,4.7989,31,31,8.08179e-09,9.14946e-09
bicg,/SIG7,/SIG15,137,137,3.38664e-14,0.0338664,0.0001,3.8871,31,33,6.04195e-09,8.00129e-09
bicg,/SIG7,/SIG16,137,137,3.02362e-14,0.0302362,0.0001,4.1759,31,32,9.17247e-09,5.0626e-09
bicg,/SIG8,/SIG9,137,137,2.13035e-14,0.0213035,0,4.188,30,31,5.77544e-09,7.25659e-09
bicg,/SIG8,/SIG10,137,137,3.02362e-14,0.0302362,0,5.1629,30,31,9.8278e-09,9.4121e-09
bicg,/SIG8,/SIG11,137,137,4.83441e-14,0.0483441,0,5.18,31,33,8.73486e-09,9.92177e-09
bicg,/SIG8,/SIG12,137,137,6.97358e-14,0.0697358,0,3.836,32,32,8.40217e-09,7.71643e-09
bicg,/SIG8,/SIG13,137,137,1.86691e-14,0.0186691,0,4.1931,30,29,7.88288e-09,9.54549e-09
bicg,/SIG8,/SIG14,137,137,2.38393e-14,0.0238393,0.0001,5.7775,30,32,8.97826e-09,8.31639e-09
bicg,/SIG8,/SIG15,137,137,3.02362e-14,0.0302362,0,6.599,32,31,8.4072e-09,9.08365e-09
bicg,/SIG8,/SIG16,137,137,3.38664e-14,0.0338664,0,3.6454,28,32,9.86384e-09,6.52777e-09
bicg,/SIG9,/SIG10,137,137,6.97358e-14,0.0697358,0,5.9196,32,32,9.13845e-09,9.51106e-09
bicg,/SIG9,/SIG11,137,137,3.38664e-14,0.0338664,0.0001,6.0015,32,33,4.96823e-09,7.59942e-09
bicg,/SIG9,/SIG12,137,137,2.24647e-14,0.0224647,0.0001,3.8509,30,31,7.95665e-09,6.51356e-09
bicg,/SIG9,/SIG13,137,137,6.97358e-14,0.0697358,0.0001,6.1392,32,33,7.98357e-09,6.34432e-09
bicg,/SIG9,/SIG14,137,137,4.83441e-14,0.0483441,0,5.1549,32,33,9.03916e-09,8.5201e-09
bicg,/SIG9,/SIG15,137,137,3.02362e-14,0.0302362,0,6.7027,33,31,7.71827e-09,7.34579e-09
bicg,/SIG9,/SIG16,137,137,2.13035e-14,0.0213035,0,5.3596,30,31,6.20503e-09,3.94706e-09
bicg,/SIG10,/SIG11,137,137,6.97358e-14,0.0697358,0,4.703,34,32,7.99739e-09,8.76603e-09
bicg,/SIG10,/SIG12,137,137,3.38664e-14,0.0338664,0.0001,4.6299,32,30,9.76811e-09,3.86703e-09
bicg,/SIG10,/SIG13,137,137,4.83441e-14,0.0483441,0.0001,5.5047,32,30,8.9324e-09,9.49654e-09
bicg,/SIG10,/SIG14,137,137,6.97358e-14,0.0697358,0,5.3092,32,33,9.83864e-09,8.43009e-09
bicg,/SIG10,/SIG15,137,137,4.83441e-14,0.0483441,0,6.0896,33,31,9.23709e-09,8.44761e-09
bicg,/SIG10,/SIG16,137,137,3.02362e-14,0.0302362,0,6.2468,31,31,7.88637e-09,5.80878e-09
bicg,/SIG11,/SIG12,137,137,6.97358e-14,0.0697358,0,5.9377,30,32,6.94056e-09,7.98053e-09
bicg,/SIG11,/SIG13,137,137,3.02362e-14,0.0302362,0,4.1973,32,32,3.36074e-09,7.15849e-09
bicg,/SIG11,/SIG14,137,137,4.83441e-14,0.0483441,0.0001,6.2718,31,32,7.58074e-09,9.65629e-09
bicg,/SIG11,/SIG15,137,137,6.97358e-14,0.0697358,0,6.9515,33,30,6.08753e-09,7.82589e-09
bicg,/SIG11,/SIG16,137,137,4.83441e-14,0.0483441,0.0001,5.7627,30,33,7.35914e-09,3.96058e-09
bicg,/SIG12,/SIG13,137,137,2.13035e-14,0.0213035,0.0001,6.0037,31,31,6.70915e-09,9.26854e-09
