solver,net_a,net_b,panels_a,panels_b,cm_f,cm_pf,assemble_ms,solve_ms,iters_a,iters_b,residual_a,residual_b
direct,/SIG1,/SIG2,137,137,6.97358e-14,0.0697358,1.0577,3.0115,0,0,0,0
direct,/SIG1,/SIG3,137,137,3.38664e-14,0.0338664,1.0292,3.3813,0,0,0,0
direct,/SIG1,/SIG4,137,137,2.24647e-14,0.0224647,0.7642,3.4204,0,0,0,0
direct,/SIG1,/SIG5,137,137,6.97358e-14,0.0697358,0.6102,2.7793,0,0,0,0
direct,/SIG1,/SIG6,137,137,4.83441e-14,0.0483441,0.7206,2.7491,0,0,0,0
direct,/SIG1,/SIG7,137,137,3.02362e-14,0.0302362,0.803,2.8078,0,0,0,0
direct,/SIG1,/SIG8,137,137,2.13035e-14,0.0213035,0.8356,2.6956,0,0,0,0
direct,/SIG1,/SIG9,137,137,3.38664e-14,0.0338664,0.819,2.4288,0,0,0,0
direct,/SIG1,/SIG10,137,137,3.02362e-14,0.0302362,0.6649,2.2649,0,0,0,0
direct,/SIG1,/SIG11,137,137,2.38393e-14,0.0238393,0.6727,2.9461,0,0,0,0
direct,/SIG1,/SIG12,137,137,1.86691e-14,0.0186691,0.6038,2.4134,0,0,0,0
direct,/SIG1,/SIG13,137,137,2.24647e-14,0.0224647,0.8026,2.7813,0,0,0,0
direct,/SIG1,/SIG14,137,137,2.13035e-14,0.0213035,0.605,2.441,0,0,0,0
direct,/SIG1,/SIG15,137,137,1.86691e-14,0.0186691,0.8139,2.5912,0,0,0,0
direct,/SIG1,/SIG16,137,137,1.58536e-14,0.0158536,0.9946,2.8114,0,0,0,0
direct,/SIG2,/SIG3,137,137,6.97358e-14,0.0697358,0.651,2.368,0,0,0,0
direct,/SIG2,/SIG4,137,137,3.38664e-14,0.0338664,0.8341,2.8789,0,0,0,0
direct,/SIG2,/SIG5,137,137,4.83441e-14,0.0483441,0.8179,2.6612,0,0,0,0
direct,/SIG2,/SIG6,137,137,6.97358e-14,0.0697358,0.6033,2.629,0,0,0,0
direct,/SIG2,/SIG7,137,137,4.83441e-14,0.0483441,0.6709,2.7027,0,0,0,0
direct,/SIG2,/SIG8,137,137,3.02362e-14,0.0302362,0.614,2.6087,0,0,0,0
direct,/SIG2,/SIG9,137,137,3.02362e-14,0.0302362,0.8572,2.8018,0,0,0,0
direct,/SIG2,/SIG10,137,137,3.38664e-14,0.0338664,0.5926,2.4982,0,0,0,0
direct,/SIG2,/SIG11,137,137,3.02362e-14,0.0302362,0.7859,2.9266,0,0,0,0
direct,/SIG2,/SIG12,137,137,2.38393e-14,0.0238393,0.8645,2.6734,0,0,0,0
direct,/SIG2,/SIG13,137,137,2.13035e-14,0.0213035,0.6146,2.5742,0,0,0,0
direct,/SIG2,/SIG14,137,137,2.24647e-14,0.0224647,0.8615,2.7944,0,0,0,0
direct,/SIG2,/SIG15,137,137,2.13035e-14,0.0213035,0.6774,2.7237,0,0,0,0
direct,/SIG2,/SIG16,137,137,1.86691e-14,0.0186691,0.6167,3.1101,0,0,0,0
direct,/SIG3,/SIG4,137,137,6.97358e-14,0.0697358,0.8425,2.82,0,0,0,0
direct,/SIG3,/SIG5,137,137,3.02362e-14,0.0302362,0.7899,2.7119,0,0,0,0
direct,/SIG3,/SIG6,137,137,4.83441e-14,0.0483441,0.7687,2.7554,0,0,0,0
direct,/SIG3,/SIG7,137,137,6.97358e-14,0.0697358,0.8276,3.1192,0,0,0,0
direct,/SIG3,/SIG8,137,137,4.83441e-14,0.0483441,0.9867,2.8384,0,0,0,0
direct,/SIG3,/SIG9,137,137,2.38393e-14,0.0238393,0.8317,2.8635,0,0,0,0
direct,/SIG3,/SIG10,137,137,3.02362e-14,0.0302362,0.7243,2.8426,0,0,0,0
direct,/SIG3,/SIG11,137,137,3.38664e-14,0.0338664,0.8375,2.7451,0,0,0,0
direct,/SIG3,/SIG12,137,137,3.02362e-14,0.0302362,0.8619,2.8626,0,0,0,0
direct,/SIG3,/SIG13,137,137,1.86691e-14,0.0186691,0.8033,2.5247,0,0,0,0
direct,/SIG3,/SIG14,137,137,2.13035e-14,0.0213035,0.86,2.8179,0,0,0,0
direct,/SIG3,/SIG15,137,137,2.24647e-14,0.0224647,0.9135,2.8337,0,0,0,0
direct,/SIG3,/SIG16,137,137,2.13035e-14,0.0213035,0.6607,2.8263,0,0,0,0
direct,/SIG4,/SIG5,137,137,2.13035e-14,0.0213035,1.4047,2.792,0,0,0,0
direct,/SIG4,/SIG6,137,137,3.02362e-14,0.0302362,0.6114,2.6144,0,0,0,0
direct,/SIG4,/SIG7,137,137,4.83441e-14,0.0483441,0.6679,2.8922,0,0,0,0
direct,/SIG4,/SIG8,137,137,6.97358e-14,0.0697358,0.6422,2.6313,0,0,0,0
direct,/SIG4,/SIG9,137,137,1.86691e-14,0.0186691,0.6192,2.9371,0,0,0,0
direct,/SIG4,/SIG10,137,137,2.38393e-14,0.0238393,0.647,2.6294,0,0,0,0
direct,/SIG4,/SIG11,137,137,3.02362e-14,0.0302362,0.6348,2.798,0,0,0,0
direct,/SIG4,/SIG12,137,137,3.38664e-14,0.0338664,0.6459,2.8652,0,0,0,0
direct,/SIG4,/SIG13,137,137,1.58536e-14,0.0158536,0.8928,2.5925,0,0,0,0
direct,/SIG4,/SIG14,137,137,1.86691e-14,0.0186691,0.7846,3.052,0,0,0,0
direct,/SIG4,/SIG15,137,137,2.13035e-14,0.0213035,0.8268,2.8845,0,0,0,0
direct,/SIG4,/SIG16,137,137,2.24647e-14,0.0224647,0.8772,2.8189,0,0,0,0
direct,/SIG5,/SIG6,137,137,6.97358e-14,0.0697358,0.6623,2.7202,0,0,0,0
