solver,net_a,net_b,panels_a,panels_b,cm_f,cm_pf,assemble_ms,solve_ms,iters_a,iters_b,residual_a,residual_b
direct,/SIG1,/SIG2,137,137,6.97358e-14,0.0697358,0.8479,3.1877,0,0,0,0
direct,/SIG1,/SIG3,137,137,3.38664e-14,0.0338664,0.6811,2.4204,0,0,0,0
direct,/SIG1,/SIG4,137,137,2.24647e-14,0.0224647,0.7081,2.9053,0,0,0,0
direct,/SIG1,/SIG5,137,137,6.97358e-14,0.0697358,0.9908,2.4461,0,0,0,0
direct,/SIG1,/SIG6,137,137,4.83441e-14,0.0483441,0.7343,2.5971,0,0,0,0
direct,/SIG1,/SIG7,137,137,3.02362e-14,0.0302362,0.7123,2.7575,0,0,0,0
direct,/SIG1,/SIG8,137,137,2.13035e-14,0.0213035,0.6126,2.2649,0,0,0,0
direct,/SIG1,/SIG9,137,137,3.38664e-14,0.0338664,0.6612,2.4805,0,0,0,0
direct,/SIG1,/SIG10,137,137,3.02362e-14,0.0302362,0.6227,2.4729,0,0,0,0
direct,/SIG1,/SIG11,137,137,2.38393e-14,0.0238393,0.7285,2.2251,0,0,0,0
direct,/SIG1,/SIG12,137,137,1.86691e-14,0.0186691,0.6953,2.5237,0,0,0,0
direct,/SIG1,/SIG13,137,137,2.24647e-14,0.0224647,0.6923,2.5932,0,0,0,0
direct,/SIG1,/SIG14,137,137,2.13035e-14,0.0213035,0.641,2.3474,0,0,0,0
direct,/SIG1,/SIG15,137,137,1.86691e-14,0.0186691,0.7133,2.7716,0,0,0,0
direct,/SIG1,/SIG16,137,137,1.58536e-14,0.0158536,0.6257,2.5081,0,0,0,0
direct,/SIG2,/SIG3,137,137,6.97358e-14,0.0697358,0.5952,2.6814,0,0,0,0
direct,/SIG2,/SIG4,137,137,3.38664e-14,0.0338664,0.8442,2.637,0,0,0,0
direct,/SIG2,/SIG5,137,137,4.83441e-14,0.0483441,0.6293,2.2162,0,0,0,0
direct,/SIG2,/SIG6,137,137,6.97358e-14,0.0697358,0.6781,3.082,0,0,0,0
direct,/SIG2,/SIG7,137,137,4.83441e-14,0.0483441,0.7057,2.2819,0,0,0,0
