solver,net_a,net_b,panels_a,panels_b,cm_f,cm_pf,assemble_ms,solve_ms,iters_a,iters_b,residual_a,residual_b
direct,/SIG1,/SIG2,137,137,6.97358e-14,0.0697358,0.7455,3.4022,0,0,0,0
direct,/SIG1,/SIG3,137,137,3.38664e-14,0.0338664,0.5835,2.5204,0,0,0,0
direct,/SIG1,/SIG4,137,137,2.24647e-14,0.0224647,0.6714,2.5957,0,0,0,0
direct,/SIG1,/SIG5,137,137,6.97358e-14,0.0697358,0.7241,2.6902,0,0,0,0
direct,/SIG1,/SIG6,137,137,4.83441e-14,0.0483441,1.1386,3.1356,0,0,0,0
direct,/SIG1,/SIG7,137,137,3.02362e-14,0.0302362,0.7582,2.7161,0,0,0,0
direct,/SIG1,/SIG8,137,137,2.13035e-14,0.0213035,0.6262,2.7848,0,0,0,0
direct,/SIG1,/SIG9,137,137,3.38664e-14,0.0338664,0.5966,2.7176,0,0,0,0
direct,/SIG1,/SIG10,137,137,3.02362e-14,0.0302362,0.7317,2.8599,0,0,0,0
direct,/SIG1,/SIG11,137,137,2.38393e-14,0.0238393,0.6094,2.5373,0,0,0,0
direct,/SIG1,/SIG12,137,137,1.86691e-14,0.0186691,0.833,2.6407,0,0,0,0
direct,/SIG1,/SIG13,137,137,2.24647e-14,0.0224647,0.6987,2.5624,0,0,0,0
direct,/SIG1,/SIG14,137,137,2.13035e-14,0.0213035,0.6102,2.7118,0,0,0,0
direct,/SIG1,/SIG15,137,137,1.86691e-14,0.0186691,0.605,2.6827,0,0,0,0
direct,/SIG1,/SIG16,137,137,1.58536e-14,0.0158536,0.5943,2.516,0,0,0,0
direct,/SIG2,/SIG3,137,137,6.97358e-14,0.0697358,0.6071,2.876,0,0,0,0
direct,/SIG2,/SIG4,137,137,3.38664e-14,0.0338664,0.801,2.6919,0,0,0,0
direct,/SIG2,/SIG5,137,137,4.83441e-14,0.0483441,0.5977,2.7401,0,0,0,0
direct,/SIG2,/SIG6,137,137,6.97358e-14,0.0697358,0.5797,2.8837,0,0,0,0
direct,/SIG2,/SIG7,137,137,4.83441e-14,0.0483441,0.5947,2.8325,0,0,0,0
direct,/SIG2,/SIG8,137,137,3.02362e-14,0.0302362,0.7912,2.7164,0,0,0,0
direct,/SIG2,/SIG9,137,137,3.02362e-14,0.0302362,0.5808,2.5788,0,0,0,0
direct,/SIG2,/SIG10,137,137,3.38664e-14,0.0338664,0.6177,3.1991,0,0,0,0
direct,/SIG2,/SIG11,137,137,3.02362e-14,0.0302362,0.9132,2.5634,0,0,0,0
direct,/SIG2,/SIG12,137,137,2.38393e-14,0.0238393,0.7371,3.0095,0,0,0,0
direct,/SIG2,/SIG13,137,137,2.13035e-14,0.0213035,0.594,2.5243,0,0,0,0
direct,/SIG2,/SIG14,137,137,2.24647e-14,0.0224647,0.7063,2.654,0,0,0,0
direct,/SIG2,/SIG15,137,137,2.13035e-14,0.0213035,0.5942,2.7651,0,0,0,0
direct,/SIG2,/SIG16,137,137,1.86691e-14,0.0186691,0.6226,2.5872,0,0,0,0
direct,/SIG3,/SIG4,137,137,6.97358e-14,0.0697358,0.737,2.6045,0,0,0,0
direct,/SIG3,/SIG5,137,137,3.02362e-14,0.0302362,0.6345,2.5024,0,0,0,0
direct,/SIG3,/SIG6,137,137,4.83441e-14,0.0483441,0.6931,2.6546,0,0,0,0
direct,/SIG3,/SIG7,137,137,6.97358e-14,0.0697358,0.6098,2.5532,0,0,0,0
direct,/SIG3,/SIG8,137,137,4.83441e-14,0.0483441,0.8019,2.6989,0,0,0,0
direct,/SIG3,/SIG9,137,137,2.38393e-14,0.0238393,0.7133,2.6475,0,0,0,0
direct,/SIG3,/SIG10,137,137,3.02362e-14,0.0302362,0.7307,2.5977,0,0,0,0
direct,/SIG3,/SIG11,137,137,3.38664e-14,0.0338664,0.612,2.397,0,0,0,0
direct,/SIG3,/SIG12,137,137,3.02362e-14,0.0302362,0.6634,2.95,0,0,0,0
direct,/SIG3,/SIG13,137,137,1.86691e-14,0.0186691,0.6134,2.4692,0,0,0,0
direct,/SIG3,/SIG14,137,137,2.13035e-14,0.0213035,0.5897,2.8636,0,0,0,0
direct,/SIG3,/SIG15,137,137,2.24647e-14,0.0224647,0.5877,2.7446,0,0,0,0
direct,/SIG3,/SIG16,137,137,2.13035e-14,0.0213035,0.7913,2.611,0,0,0,0
direct,/SIG4,/SIG5,137,137,2.13035e-14,0.0213035,0.7702,2.5921,0,0,0,0
direct,/SIG4,/SIG6,137,137,3.02362e-14,0.0302362,0.7908,2.6345,0,0,0,0
direct,/SIG4,/SIG7,137,137,4.83441e-14,0.0483441,0.6189,3.0175,0,0,0,0
direct,/SIG4,/SIG8,137,137,6.97358e-14,0.0697358,0.609,2.725,0,0,0,0
direct,/SIG4,/SIG9,137,137,1.86691e-14,0.0186691,0.7,2.6589,0,0,0,0
direct,/SIG4,/SIG10,137,137,2.38393e-14,0.0238393,0.6621,2.7427,0,0,0,0
direct,/SIG4,/SIG11,137,137,3.02362e-14,0.0302362,0.5933,2.4987,0,0,0,0
direct,/SIG4,/SIG12,137,137,3.38664e-14,0.0338664,0.7034,2.6125,0,0,0,0
direct,/SIG4,/SIG13,137,137,1.58536e-14,0.0158536,0.6302,2.5842,0,0,0,0
direct,/SIG4,/SIG14,137,137,1.86691e-14,0.0186691,0.59,2.609,0,0,0,0
direct,/SIG4,/SIG15,137,137,2.13035e-14,0.0213035,0.7559,2.6856,0,0,0,0
direct,/SIG4,/SIG16,137,137,2.24647e-14,0.0224647,0.6634,2.6957,0,0,0,0
direct,/SIG5,/SIG6,137,137,6.97358e-14,0.0697358,0.6392,2.8285,0,0,0,0
direct,/SIG5,/SIG7,137,137,3.38664e-14,0.0338664,0.6716,2.5842,0,0,0,0
direct,/SIG5,/SIG8,137,137,2.24647e-14,0.0224647,0.7367,2.9329,0,0,0,0
direct,/SIG5,/SIG9,137,137,6.97358e-14,0.0697358,0.647,2.7437,0,0,0,0
direct,/SIG5,/SIG10,137,137,4.83441e-14,0.0483441,0.6785,2.4663,0,0,0,0
direct,/SIG5,/SIG11,137,137,3.02362e-14,0.0302362,0.6019,2.6831,0,0,0,0
direct,/SIG5,/SIG12,137,137,2.13035e-14,0.0213035,0.6869,2.4117,0,0,0,0
direct,/SIG5,/SIG13,137,137,3.38664e-14,0.0338664,0.6774,2.5756,0,0,0,0
direct,/SIG5,/SIG14,137,137,3.02362e-14,0.0302362,0.6089,2.4619,0,0,0,0
direct,/SIG5,/SIG15,137,137,2.38393e-14,0.0238393,0.5581,2.228,0,0,0,0
direct,/SIG5,/SIG16,137,137,1.86691e-14,0.0186691,0.7356,3.0748,0,0,0,0
direct,/SIG6,/SIG7,137,137,6.97358e-14,0.0697358,0.606,2.2581,0,0,0,0
direct,/SIG6,/SIG8,137,137,3.38664e-14,0.0338664,0.767,2.5934,0,0,0,0
direct,/SIG6,/SIG9,137,137,4.83441e-14,0.0483441,0.7812,2.5556,0,0,0,0
direct,/SIG6,/SIG10,137,137,6.97358e-14,0.0697358,0.574,2.447,0,0,0,0
direct,/SIG6,/SIG11,137,137,4.83441e-14,0.0483441,0.7602,2.6873,0,0,0,0
direct,/SIG6,/SIG12,137,137,3.02362e-14,0.0302362,0.7054,2.613,0,0,0,0
direct,/SIG6,/SIG13,137,137,3.02362e-14,0.0302362,0.5758,2.6091,0,0,0,0
direct,/SIG6,/SIG14,137,137,3.38664e-14,0.0338664,0.5818,2.4561,0,0,0,0
direct,/SIG6,/SIG15,137,137,3.02362e-14,0.0302362,0.6605,2.3086,0,0,0,0
direct,/SIG6,/SIG16,137,137,2.38393e-14,0.0238393,0.7657,2.7168,0,0,0,0
direct,/SIG7,/SIG8,137,137,6.97358e-14,0.0697358,0.5926,2.4917,0,0,0,0
direct,/SIG7,/SIG9,137,137,3.02362e-14,0.0302362,0.581,2.3474,0,0,0,0
direct,/SIG7,/SIG10,137,137,4.83441e-14,0.0483441,0.7268,2.8826,0,0,0,0
direct,/SIG7,/SIG11,137,137,6.97358e-14,0.0697358,0.6384,2.2796,0,0,0,0
direct,/SIG7,/SIG12,137,137,4.83441e-14,0.0483441,0.6132,2.5567,0,0,0,0
direct,/SIG7,/SIG13,137,137,2.38393e-14,0.0238393,0.6559,2.5333,0,0,0,0
direct,/SIG7,/SIG14,137,137,3.02362e-14,0.0302362,0.6315,2.4977,0,0,0,0
direct,/SIG7,/SIG15,137,137,3.38664e-14,0.0338664,0.5866,2.7974,0,0,0,0
direct,/SIG7,/SIG16,137,137,3.02362e-14,0.0302362,0.5665,2.4605,0,0,0,0
direct,/SIG8,/SIG9,137,137,2.13035e-14,0.0213035,0.5644,2.3524,0,0,0,0
direct,/SIG8,/SIG10,137,137,3.02362e-14,0.0302362,0.7125,2.713,0,0,0,0
direct,/SIG8,/SIG11,137,137,4.83441e-14,0.0483441,0.6003,2.679,0,0,0,0
direct,/SIG8,/SIG12,137,137,6.97358e-14,0.0697358,0.7875,2.992,0,0,0,0
direct,/SIG8,/SIG13,137,137,1.86691e-14,0.0186691,0.6851,2.6656,0,0,0,0
direct,/SIG8,/SIG14,137,137,2.38393e-14,0.0238393,0.7384,2.6022,0,0,0,0
direct,/SIG8,/SIG15,137,137,3.02362e-14,0.0302362,0.7707,2.665,0,0,0,0
direct,/SIG8,/SIG16,137,137,3.38664e-14,0.0338664,0.7204,2.7132,0,0,0,0
direct,/SIG9,/SIG10,137,137,6.97358e-14,0.0697358,0.7553,2.9642,0,0,0,0
direct,/SIG9,/SIG11,137,137,3.38664e-14,0.0338664,0.669,2.6713,0,0,0,0
direct,/SIG9,/SIG12,137,137,2.24647e-14,0.0224647,0.6799,2.9633,0,0,0,0
direct,/SIG9,/SIG13,137,137,6.97358e-14,0.0697358,0.7598,2.8071,0,0,0,0
direct,/SIG9,/SIG14,137,137,4.83441e-14,0.0483441,0.7812,2.8365,0,0,0,0
direct,/SIG9,/SIG15,137,137,3.02362e-14,0.0302362,0.7365,2.5661,0,0,0,0
direct,/SIG9,/SIG16,137,137,2.13035e-14,0.0213035,0.7292,2.8843,0,0,0,0
direct,/SIG10,/SIG11,137,137,6.97358e-14,0.0697358,1.2272,2.9062,0,0,0,0
direct,/SIG10,/SIG12,137,137,3.38664e-14,0.0338664,0.6493,2.5987,0,0,0,0
direct,/SIG10,/SIG13,137,137,4.83441e-14,0.0483441,0.8279,2.6389,0,0,0,0
direct,/SIG10,/SIG14,137,137,6.97358e-14,0.0697358,0.6461,2.5614,0,0,0,0
direct,/SIG10,/SIG15,137,137,4.83441e-14,0.0483441,0.6147,2.6139,0,0,0,0
direct,/SIG10,/SIG16,137,137,3.02362e-14,0.0302362,0.6271,2.4256,0,0,0,0
direct,/SIG11,/SIG12,137,137,6.97358e-14,0.0697358,0.7438,2.4857,0,0,0,0
direct,/SIG11,/SIG13,137,137,3.02362e-14,0.0302362,0.7367,2.7741,0,0,0,0
direct,/SIG11,/SIG14,137,137,4.83441e-14,0.0483441,0.8327,2.7453,0,0,0,0
direct,/SIG11,/SIG15,137,137,6.97358e-14,0.0697358,0.7374,2.8485,0,0,0,0
direct,/SIG11,/SIG16,137,137,4.83441e-14,0.0483441,0.7516,2.7265,0,0,0,0
direct,/SIG12,/SIG13,137,137,2.13035e-14,0.0213035,0.7346,2.6372,0,0,0,0
direct,/SIG12,/SIG14,137,137,3.02362e-14,0.0302362,0.6304,2.9985,0,0,0,0
direct,/SIG12,/SIG15,137,137,4.83441e-14,0.0483441,0.9376,2.6859,0,0,0,0
direct,/SIG12,/SIG16,137,137,6.97358e-14,0.0697358,0.7361,2.7114,0,0,0,0
direct,/SIG13,/SIG14,137,137,6.97358e-14,0.0697358,0.7092,2.5484,0,0,0,0
direct,/SIG13,/SIG15,137,137,3.38664e-14,0.0338664,0.7157,2.9087,0,0,0,0
direct,/SIG13,/SIG16,137,137,2.24647e-14,0.0224647,0.619,2.6827,0,0,0,0
direct,/SIG14,/SIG15,137,137,6.97358e-14,0.0697358,0.8318,3.0062,0,0,0,0
direct,/SIG14,/SIG16,137,137,3.38664e-14,0.0338664,0.6814,2.8146,0,0,0,0
direct,/SIG15,/SIG16,137,137,6.97358e-14,0.0697358,0.706,2.4918,0,0,0,0
