solver,net_a,net_b,panels_a,panels_b,cm_f,cm_pf,assemble_ms,solve_ms,iters_a,iters_b,residual_a,residual_b
fastcap,/SIG1,/SIG2,137,137,5.741e-14,0.05741,0,204.51,0,0,0,0
fastcap,/SIG1,/SIG3,137,137,2.795e-14,0.02795,0,195.655,0,0,0,0
fastcap,/SIG1,/SIG4,137,137,1.852e-14,0.01852,0,193.281,0,0,0,0
fastcap,/SIG1,/SIG5,137,137,5.741e-14,0.05741,0,166.626,0,0,0,0
fastcap,/SIG1,/SIG6,137,137,3.993e-14,0.03993,0,216.438,0,0,0,0
fastcap,/SIG1,/SIG7,137,137,2.496e-14,0.02496,0,191.332,0,0,0,0
fastcap,/SIG1,/SIG8,137,137,1.757e-14,0.01757,0,205.388,0,0,0,0
fastcap,/SIG1,/SIG9,137,137,2.795e-14,0.02795,0,312.517,0,0,0,0
fastcap,/SIG1,/SIG10,137,137,2.496e-14,0.02496,0,289.151,0,0,0,0
fastcap,/SIG1,/SIG11,137,137,1.971e-14,0.01971,0,305.292,0,0,0,0
fastcap,/SIG1,/SIG12,137,137,1.541e-14,0.01541,0,306.729,0,0,0,0
fastcap,/SIG1,/SIG13,137,137,1.852e-14,0.01852,0,363.599,0,0,0,0
fastcap,/SIG1,/SIG14,137,137,1.757e-14,0.01757,0,297.573,0,0,0,0
fastcap,/SIG1,/SIG15,137,137,1.541e-14,0.01541,0,255.231,0,0,0,0
fastcap,/SIG1,/SIG16,137,137,1.31e-14,0.0131,0,229.979,0,0,0,0
fastcap,/SIG2,/SIG3,137,137,5.741e-14,0.05741,0,178.33,0,0,0,0
fastcap,/SIG2,/SIG4,137,137,2.795e-14,0.02795,0,165.787,0,0,0,0
fastcap,/SIG2,/SIG5,137,137,3.992e-14,0.03992,0,170.806,0,0,0,0
fastcap,/SIG2,/SIG6,137,137,5.741e-14,0.05741,0,164.886,0,0,0,0
fastcap,/SIG2,/SIG7,137,137,3.993e-14,0.03993,0,209.376,0,0,0,0
fastcap,/SIG2,/SIG8,137,137,2.496e-14,0.02496,0,193.382,0,0,0,0
fastcap,/SIG2,/SIG9,137,137,2.496e-14,0.02496,0,221.043,0,0,0,0
fastcap,/SIG2,/SIG10,137,137,2.795e-14,0.02795,0,311.302,0,0,0,0
fastcap,/SIG2,/SIG11,137,137,2.496e-14,0.02496,0,296.76,0,0,0,0
fastcap,/SIG2,/SIG12,137,137,1.971e-14,0.01971,0,270.774,0,0,0,0
