solver,net_a,net_b,panels_a,panels_b,cm_f,cm_pf,assemble_ms,solve_ms,iters_a,iters_b,residual_a,residual_b
fastcap,/SIG1,/SIG2,137,137,3.24e-15,0.00324,343.5,659.177,0,0,0,0
fastcap,/SIG1,/SIG3,137,137,3.747e-17,3.747e-05,357.827,709.13,0,0,0,0
fastcap,/SIG1,/SIG4,137,137,2.746e-16,0.0002746,369.473,767.546,0,0,0,0
fastcap,/SIG1,/SIG5,137,137,3.3e-15,0.0033,367.416,652.574,0,0,0,0
fastcap,/SIG1,/SIG6,137,137,1.39e-15,0.00139,371.125,775.391,0,0,0,0
fastcap,/SIG1,/SIG7,137,137,2.735e-16,0.0002735,396.123,885.454,0,0,0,0
fastcap,/SIG1,/SIG8,137,137,1.949e-16,0.0001949,394.137,970.418,0,0,0,0
fastcap,/SIG1,/SIG9,137,137,2.083e-17,2.083e-05,365.423,732.014,0,0,0,0
fastcap,/SIG1,/SIG10,137,137,2.886e-16,0.0002886,375.425,888.927,0,0,0,0
fastcap,/SIG1,/SIG11,137,137,2.578e-16,0.0002578,386.433,1113.46,0,0,0,0
fastcap,/SIG1,/SIG12,137,137,9.113e-17,9.113e-05,427.371,1289.67,0,0,0,0
fastcap,/SIG1,/SIG13,137,137,2.593e-16,0.0002593,380.357,774.562,0,0,0,0
fastcap,/SIG1,/SIG14,137,137,2.004e-16,0.0002004,432.828,961.431,0,0,0,0
fastcap,/SIG1,/SIG15,137,137,1.412e-16,0.0001412,409.029,1222.91,0,0,0,0
fastcap,/SIG1,/SIG16,137,137,8.478e-17,8.478e-05,489.189,1393.05,0,0,0,0
fastcap,/SIG2,/SIG3,137,137,2.311e-15,0.002311,374.424,680.239,0,0,0,0
fastcap,/SIG2,/SIG4,137,137,9.637e-16,0.0009637,380.381,693.06,0,0,0,0
fastcap,/SIG2,/SIG5,137,137,1.536e-15,0.001536,389.929,789.244,0,0,0,0
fastcap,/SIG2,/SIG6,137,137,3.149e-15,0.003149,361.251,646.3,0,0,0,0
