solver,net_a,net_b,panels_a,panels_b,cm_f,cm_pf,assemble_ms,solve_ms,iters_a,iters_b,residual_a,residual_b
fastcap,/SIG1,/SIG2,5,5,2.126e-17,2.126e-05,63.3437,578.738,0,0,0,0
fastcap,/SIG1,/SIG3,5,5,3.174e-17,3.174e-05,68.0255,645.018,0,0,0,0
fastcap,/SIG1,/SIG4,5,5,3.02e-18,3.02e-06,71.9847,760.937,0,0,0,0
fastcap,/SIG1,/SIG5,5,5,-1.867e-18,-1.867e-06,73.98,600.829,0,0,0,0
fastcap,/SIG1,/SIG6,5,5,1.794e-17,1.794e-05,75.6984,693.996,0,0,0,0
fastcap,/SIG1,/SIG7,5,5,2.517e-18,2.517e-06,101.415,933.439,0,0,0,0
fastcap,/SIG1,/SIG8,5,5,-8.72e-19,-8.72e-07,90.224,1190.41,0,0,0,0
fastcap,/SIG1,/SIG9,5,5,2.06e-18,2.06e-06,80.4874,645.222,0,0,0,0
fastcap,/SIG1,/SIG10,5,5,-1.205e-16,-0.0001205,104.839,5613.42,0,0,0,0
fastcap,/SIG1,/SIG11,5,5,-3.012e-18,-3.012e-06,123.793,1241.95,0,0,0,0
fastcap,/SIG1,/SIG12,5,5,1.887e-18,1.887e-06,123.735,1605.01,0,0,0,0
fastcap,/SIG1,/SIG13,5,5,3.98e-19,3.98e-07,77.7817,769.44,0,0,0,0
fastcap,/SIG1,/SIG14,5,5,-3.484e-18,-3.484e-06,90.9836,1510.4,0,0,0,0
fastcap,/SIG1,/SIG15,5,5,2.304e-17,2.304e-05,117.904,1839.48,0,0,0,0
fastcap,/SIG1,/SIG16,5,5,7.153e-18,7.153e-06,117.994,2050.44,0,0,0,0
fastcap,/SIG2,/SIG3,5,5,-4.433e-17,-4.433e-05,86.994,589.878,0,0,0,0
fastcap,/SIG2,/SIG4,5,5,-1.412e-18,-1.412e-06,72.3117,687.328,0,0,0,0
fastcap,/SIG2,/SIG5,5,5,-5.421e-17,-5.421e-05,81.4363,687.84,0,0,0,0
fastcap,/SIG2,/SIG6,5,5,1.556e-16,0.0001556,78.3036,598.539,0,0,0,0
fastcap,/SIG2,/SIG7,5,5,3.698e-17,3.698e-05,79.0896,723.892,0,0,0,0
fastcap,/SIG2,/SIG8,5,5,1.299e-19,1.299e-07,94.0964,970.935,0,0,0,0
fastcap,/SIG2,/SIG9,5,5,6.27e-18,6.27e-06,95.8615,1097.56,0,0,0,0
fastcap,/SIG2,/SIG10,5,5,3.739e-15,0.003739,80.6173,1014.42,0,0,0,0
fastcap,/SIG2,/SIG11,5,5,-2.523e-18,-2.523e-06,83.0348,1128.07,0,0,0,0
fastcap,/SIG2,/SIG12,5,5,1.347e-19,1.347e-07,110.693,1223.3,0,0,0,0
fastcap,/SIG2,/SIG13,5,5,4.089e-19,4.089e-07,97.4732,1229.12,0,0,0,0
fastcap,/SIG2,/SIG14,5,5,2.16e-18,2.16e-06,88.2351,990.626,0,0,0,0
